roi,best_affinity,local_median_spacing,density_ratio,pca_eigenvalue_0,pca_eigenvalue_1,pca_eigenvalue_2,estimated_curvature,normal_confidence,mean_normal_dispersion,p95_normal_dispersion,semantic_purity,semantic_entropy,graph_components_C0,graph_components_C1,graph_components_C3,largest_component_fraction,boundary_support_count,estimated_missing_surface_area
ramen_sample_014,soft,0.010426231389716614,0.9997687116896387,6.319960812106729e-05,0.00014723527419846505,0.00028087577084079385,0.12734001874923706,0.8726599812507629,64.97245025634766,87.0168685913086,0.9627118644067797,1.4720741510391235,1,15,20,0.7864406779661017,295,0.005463332099889833
ramen_sample_015,soft,0.010425484045827289,0.9999837303676803,3.7737496313638985e-05,7.526938861701638e-05,0.00013629673048853874,0.15267983078956604,0.8473201394081116,61.112186431884766,88.00525665283203,0.4266666666666667,1.1978241205215454,1,7,100,0.3566666666666667,300,0.005463332099889833
ramen_sample_016,soft,0.0104268426803896,0.9995928827800428,3.942972034565173e-05,8.200813317671418e-05,0.0001372544065816328,0.1475689858198166,0.852431058883667,56.45148849487305,87.1054458618164,0.38881664499349805,1.296841025352478,1,20,193,0.24577373211963588,769,0.005463332099889833
ramen_sample_017,hard,0.010425363736277445,1.0000183504492024,8.962795982370153e-05,0.0002012925106100738,0.000404489750508219,0.13268940150737762,0.867310643196106,49.06096267700195,87.29275512695312,0.6805970149253732,1.1662336587905884,1,15,70,0.5850746268656717,335,0.017582862191937592
ramen_sample_018,hard,0.010425109669262118,1.000091465613718,0.00013218553795013577,0.00031755390227772295,0.0006372457137331367,0.1256757229566574,0.8743243217468262,52.69219207763672,85.94458770751953,0.25,1.6526758670806885,1,10,74,0.14285714285714285,224,0.026504361153761383
ramen_sample_019,hard,0.010425326317861493,1.0000291182378815,0.00016477819008287042,0.0004207745078019798,0.0008625519112683833,0.1011698916554451,0.8988301753997803,32.333492279052734,84.1235580444336,0.32786885245901637,1.8071976900100708,1,10,34,0.22950819672131148,122,0.01709254915297011
ramen_sample_020,hard,0.010425449359049566,0.9999937116147977,9.465384937357157e-05,0.000336960656568408,0.0010709846392273903,0.07120245695114136,0.9287975430488586,26.135313034057617,46.6739501953125,0.7843137254901961,1.4032280445098877,1,1,2,0.7843137254901961,51,0.023508592106180465
ramen_sample_021,soft,0.01042552501231817,0.9999719422812239,9.160797344520688e-05,0.000267791619990021,0.0005832624738104641,0.09457101672887802,0.905428946018219,44.03582000732422,86.82466888427734,0.9868421052631579,1.2982972860336304,1,14,17,0.43859649122807015,228,0.016641769273955543
ramen_sample_022,hard,0.010425659692196087,0.9999331895221674,1.2102324035367928e-05,3.376406675670296e-05,7.456223102053627e-05,0.10036958009004593,0.8996304273605347,42.27537155151367,78.98179626464844,0.9961315280464217,1.0733160972595215,1,11,13,0.9535783365570599,517,0.005463332099889833
roi_B_junction,hard,0.010425297227755223,1.0000374895199262,0.0006192915025167167,0.0013704943703487515,0.004126197658479214,0.10008785873651505,0.8999119997024536,45.57162857055664,73.27217102050781,0.9871794871794872,0.7939176559448242,1,4,5,0.717948717948718,78,0.0817062378008459
roi_C_layered,soft,0.01042605715104698,0.9998188364718849,1.1924910722882487e-05,7.512015872634947e-05,0.0001949370780494064,0.029679181054234505,0.9703207612037659,14.08910083770752,42.020050048828125,0.9855072463768116,1.3892300128936768,1,5,6,0.927536231884058,138,0.005463332099889833
roi_D_curved_v2,soft,0.01042568125184018,0.9999269861407535,0.0004647682944778353,0.001000727410428226,0.0029859880451112986,0.10815586149692535,0.8918441534042358,33.21746063232422,83.54226684570312,1.0,0.7851340174674988,1,2,2,0.8571428571428571,35,0.06277736839026876
